,0.624998933864199,100.0
0,0.0,0
1,0.0016361856394600644,1
2,0.00454907175421092,2
3,0.007671575237330446,3
4,0.012640422072963295,4
5,0.01679893183833264,5
6,0.02131404285940642,6
7,0.03064948878662576,7
8,0.03511639518060877,8
9,0.0395585385864148,9
10,0.04666781119552361,10
11,0.053500020709496304,11
12,0.059209786254061904,12
13,0.08188247410950734,13
14,0.08514158449235734,14
15,0.09007035705689853,15
16,0.09754965780897681,16
17,0.10236054470086291,17
18,0.10988894504732691,18
19,0.12521546988333287,19
20,0.1296369266749241,20
21,0.13627362800266488,21
22,0.14861528760119866,22
23,0.15458669298563796,23
24,0.16447574807644338,24
25,0.22499893386419895,25
26,0.22745543261147286,26
27,0.23182476178359912,27
28,0.23650851700827843,28
29,0.24396178726172768,29
30,0.2501995519097817,30
31,0.2569722184413924,31
32,0.27097538949007194,32
33,0.2776757490810464,33
34,0.28433896418975546,34
35,0.295002874268658,35
36,0.30525118916884625,36
37,0.3138158378254784,37
38,0.3478248674743943,38
39,0.3527135330486693,39
40,0.3601066918954811,40
41,0.37132564418883784,41
42,0.37854197452666694,42
43,0.38983457601537597,43
44,0.41282436230037195,44
45,0.41945654748775874,45
46,0.42941160010859913,46
47,0.44792408950639984,47
48,0.4568811979228425,48
49,0.4717147807425339,49
50,0.624998933864199,50
51,0.627455432611473,51
52,0.6318247617835993,52
53,0.6365085170082785,53
54,0.6439617872617278,54
55,0.6501995519097817,55
56,0.6569722184413924,56
57,0.670975389490072,57
58,0.6776757490810466,58
59,0.6843389641897556,59
60,0.695002874268658,60
61,0.7052511891688463,61
62,0.7138158378254784,62
63,0.7478248674743944,63
64,0.7527135330486694,64
65,0.7601066918954812,65
66,0.7713256441888379,66
67,0.778541974526667,67
68,0.789834576015376,68
69,0.8128243623003719,69
70,0.8194565474877589,70
71,0.8294116001085992,71
72,0.8479240895063999,72
73,0.8568811979228426,73
74,0.871714780742534,74
75,0.9624983581508666,75
76,0.9661843052273427,76
77,0.972738298985532,77
78,0.979763931822551,78
79,0.9909438383679642,79
80,1.0003004859692743,80
81,1.0104594862899574,81
82,1.0314642417104805,82
83,1.0415147817261716,83
84,1.0515096049125021,84
85,1.067505469507589,85
86,1.0828779421976549,86
87,1.0957249154651674,87
88,1.146738458686964,88
89,1.1540714570483765,89
90,1.1651611962876072,90
91,1.1819896243878585,91
92,1.1928141205169502,92
93,1.2097530226509328,93
94,1.2442377015551598,94
95,1.254185979859507,95
96,1.2691185589433522,96
97,1.2968872927039854,97
98,1.3103229556936093,98
99,1.332573329938748,99
100,0.624998933864199,100
